candidate_id,title,score
CAND_0081846,Lead AI Engineer,0.9747689280033112
CAND_0018499,Senior Machine Learning Engineer,0.9493887667417528
CAND_0008425,Senior NLP Engineer,0.934079543042183
CAND_0062247,AI Engineer,0.9329148010730745
CAND_0028793,Search Engineer,0.9253759361028672
CAND_0094759,Lead AI Engineer,0.9229812801837924
CAND_0055905,Senior Machine Learning Engineer,0.9218057492017748
CAND_0070398,Machine Learning Engineer,0.9176157227635384
CAND_0046525,Senior Machine Learning Engineer,0.9145983820199968
CAND_0080766,Staff Machine Learning Engineer,0.9134793924331666
CAND_0046064,Senior NLP Engineer,0.9117132698774336
CAND_0039383,Applied ML Engineer,0.9089242847442628
CAND_0077337,Staff Machine Learning Engineer,0.9052923207759858
CAND_0058688,AI Engineer,0.9002940610170365
CAND_0041669,Recommendation Systems Engineer,0.8941305581331254
CAND_0006567,Senior AI Engineer,0.8924194395065308
CAND_0071974,Senior AI Engineer,0.8921463251590729
CAND_0042100,Machine Learning Engineer,0.8902579965233803
CAND_0005260,Senior NLP Engineer,0.8901165179252626
CAND_0044222,AI Engineer,0.8835227499246598
CAND_0006418,Machine Learning Engineer,0.881705088710785
CAND_0006557,NLP Engineer,0.8813742943882943
CAND_0033861,Senior NLP Engineer,0.8800609165668489
CAND_0027801,NLP Engineer,0.8758437608957291
CAND_0066999,Recommendation Systems Engineer,0.8745107279062272
CAND_0098846,AI Engineer,0.8700385734558106
CAND_0079387,AI Engineer,0.8697024666070938
CAND_0098952,AI Research Engineer,0.8658894797325135
CAND_0010685,NLP Engineer,0.8655201112151146
CAND_0075249,Applied ML Engineer,0.8648840001821518
CAND_0064326,Search Engineer,0.8636038455486298
CAND_0000031,Recommendation Systems Engineer,0.8634964391946792
CAND_0050454,AI Engineer,0.8630418423652649
CAND_0052328,Recommendation Systems Engineer,0.8629611407160759
CAND_0024620,AI Engineer,0.8627580201268197
CAND_0061257,Staff Machine Learning Engineer,0.8621881925582886
CAND_0007411,Senior Machine Learning Engineer,0.8621697495698929
CAND_0069905,Applied ML Engineer,0.862129121029377
CAND_0011687,Senior NLP Engineer,0.860001207447052
CAND_0083879,Machine Learning Engineer,0.8598953967094423
CAND_0018722,Recommendation Systems Engineer,0.8596372673511505
CAND_0075574,Machine Learning Engineer,0.8576767994403839
CAND_0060054,AI Engineer,0.8563662766695024
CAND_0030031,AI Engineer,0.8560987687110901
CAND_0043860,Junior ML Engineer,0.855778509259224
CAND_0086151,Recommendation Systems Engineer,0.8551510481357574
CAND_0066376,Applied ML Engineer,0.8549227873325349
CAND_0083307,Search Engineer,0.8491849794864654
CAND_0088025,Staff Machine Learning Engineer,0.8491810715675354
CAND_0002025,Senior AI Engineer,0.8483867865562439
CAND_0044883,AI Engineer,0.847215856409073
CAND_0027691,NLP Engineer,0.8468994931221009
CAND_0096142,Applied ML Engineer,0.844423055613041
CAND_0018549,Recommendation Systems Engineer,0.8439958809614182
CAND_0074735,Applied ML Engineer,0.8439670069098474
CAND_0007412,Applied ML Engineer,0.8434332698822021
CAND_0007009,Recommendation Systems Engineer,0.8433630616903306
CAND_0011162,Recommendation Systems Engineer,0.8423296936273575
CAND_0017960,Recommendation Systems Engineer,0.8408730181574823
CAND_0045250,Applied ML Engineer,0.8405214516639711
CAND_0052335,Applied ML Engineer,0.8404170389652252
CAND_0025640,AI Research Engineer,0.8399967002868652
CAND_0078002,Machine Learning Engineer,0.8394175325751304
CAND_0081053,NLP Engineer,0.8390028686642648
CAND_0041610,Recommendation Systems Engineer,0.8379855486750603
CAND_0007460,AI Engineer,0.8374999905824662
CAND_0010541,AI Research Engineer,0.8366400726795198
CAND_0087630,AI Engineer,0.8365434032678604
CAND_0030348,Machine Learning Engineer,0.835837602865696
CAND_0058575,AI Engineer,0.8342688344240189
CAND_0053591,AI Engineer,0.8337529798507692
CAND_0016163,Applied ML Engineer,0.833743607378006
CAND_0098288,Junior ML Engineer,0.8335594987392426
CAND_0061265,Recommendation Systems Engineer,0.8322591960787773
CAND_0089552,Machine Learning Engineer,0.8320545473098755
CAND_0061175,AI Research Engineer,0.8315063524484634
CAND_0091909,Machine Learning Engineer,0.8285021957159043
CAND_0078492,Recommendation Systems Engineer,0.8284569818615913
CAND_0042506,Search Engineer,0.8282365322113039
CAND_0092706,AI Research Engineer,0.828188620710373
CAND_0074225,Machine Learning Engineer,0.8275321274757385
CAND_0068932,ML Engineer,0.827483308529854
CAND_0020877,Applied ML Engineer,0.8270043842554092
CAND_0031593,Search Engineer,0.8260844652175904
CAND_0044890,AI Research Engineer,0.8254463592290878
CAND_0092278,Senior NLP Engineer,0.8254405987262727
CAND_0005311,AI Research Engineer,0.8241550613403321
CAND_0076251,Search Engineer,0.8239915341615677
CAND_0036184,Recommendation Systems Engineer,0.8229546867132187
CAND_0032216,ML Engineer,0.8229069133758545
CAND_0008239,AI Engineer,0.8226381246089935
CAND_0097176,ML Engineer,0.8223213324546814
CAND_0033179,AI Research Engineer,0.822186422467232
CAND_0052682,NLP Engineer,0.8219452061414719
CAND_0061339,Search Engineer,0.8214419506788254
CAND_0012837,Junior ML Engineer,0.8201731060624123
CAND_0012888,Junior ML Engineer,0.8186595978975296
CAND_0037566,Machine Learning Engineer,0.8185544774770739
CAND_0004402,AI Research Engineer,0.8183468784809115
CAND_0062413,AI Research Engineer,0.8179081026554109
